strain0,level0,strain1,level1,strain2,level2,strain3,level3
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-5,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-4,164,6,255,-2,166
6,255,-3,164,6,255,-2,166
