Alphabetical 0-based index,Name,objectsBrightThrehold,objectsSizeThrehold,numOfComponet
0,avery_binder,0.85,4000,1
1,balloons,0.9,1000,1
2,band_aid_tape,0.6,967,1
3,bath_sponge,0.9,700,1
4,black_fashion_gloves,0.3,1000,1
5,burts_bees_baby_wipes,0.9,1000,1
6,colgate_toothbrush_4pk,0.9,1000,1
7,composition_book,0.9,1000,1
8,crayons,0.9,700,1
9,duct_tape,0.9,1000,1
10,epsom_salts,0.9,1000,1
11,expo_eraser,0.9,1000,1
12,fiskars_scissors,0.9,1000,1
13,flashlight,0.9,300,2
14,glue_sticks,0.9,1000,1
15,hand_weight,0.9,1000,1
16,hanes_socks,0.9,1000,1
17,hinged_ruled_index_cards,0.9,1000,1
18,ice_cube_tray,0.95,1000,1
19,irish_spring_soap,0.9,1000,1
20,laugh_out_loud_jokes,0.7,1000,1
21,marbles,0.9,1000,1
22,measuring_spoons,0.8,1000,2
23,mesh_cup,0.6,1000,1
24,mouse_traps,0.9,1000,1
25,pie_plates,0.9,1000,1
26,plastic_wine_glass,0.8,1000,2
27,poland_spring_water,0.9,1000,1
28,reynolds_wrap,0.6,1000,1
29,robots_dvd,0.9,1000,1
30,robots_everywhere,0.9,1000,1
31,scotch_sponges,0.6,1000,1
32,speed_stick,0.9,1000,1
33,table_cloth,0.9,1000,1
34,tennis_ball_container,0.9,1000,1
35,ticonderoga_pencils,0.9,1000,1
36,tissue_box,0.9,1000,1
37,toilet_brush,0.9,1000,3
38,white_facecloth,0.9,1000,1
39,windex,0.9,1000,1
