Index,FolderName,Weight,dx,dy,dz
0,Avery_Binder,4.630000e-02,0.142000,0.187000,0.030000
1,Balloons,4.630000e-02,0.142000,0.187000,0.030000
2,Black_Fashion_Gloves,3.030000e-02,0.124000,0.198000,0.030000
3,Brillo_Pads,9.340000e-02,0.063000,0.116500,0.131500
4,Bubble_Blower,1.212000e-01,0.046500,0.139500,0.212000
5,Claw_Hair_Clips,4.720000e-02,0.046500,0.089000,0.175500
6,Composition_Book,3.085000e-01,0.191000,0.248000,0.011000
7,Condiment_Bottles,4.610000e-02,0.066500,0.166000,0.307500
9,Flashlight,5.100000e-02,0.025000,0.085000,0.030000
10,Gardeners_Select_Gloves,4.240000e-02,0.027000,0.156000,0.256000
11,Gray_Divided_Mesh_Cup,1.695000e-01,0.107000,0.108500,0.152500
12,Hand_Weight,9.307000e-01,0.059000,0.144000,0.057000
13,Hanes_Socks,3.589000e-01,0.226000,0.267000,0.072000
14,Heat_Wrap,7.260000e-02,0.018000,0.115000,0.168000
15,Irish_Spring_Soap,1.124000e-01,0.064000,0.100000,0.039000
16,Light_Bulb,3.870000e-02,0.056000,0.057500,0.101000
17,Measuring_Spoons,7.380000e-02,0.075000,0.145000,0.027000
18,Mermaid_Crayons,8.950000e-02,0.019000,0.071000,0.111500
19,Purple_Binder,3.472000e-01,0.041000,0.275000,0.297000
20,R2D2_Holo_Notebook,5.600000e-02,0.011000,0.104000,0.145500
21,Ratchet,4.724000e-01,0.075000,0.107000,0.168500
22,Reynolds_Wrap,3.953000e-01,0.047000,0.319000,0.047000
23,Robots_Everywhere,1.130000e-01,0.168000,0.201000,0.006000
24,Rudolph_Erasers,1.480000e-01,0.023000,0.106000,0.164000
25,Scotch_Sponges,5.610000e-02,0.083000,0.159000,0.072000
26,Shoe_Polish,9.650000e-02,0.034000,0.114000,0.141000
27,Soap_Dish,5.710000e-02,0.043500,0.128000,0.133000
28,Speed_Stick,2.757000e-01,0.069000,0.144000,0.061000
29,Steel_Scourer,3.090000e-02,0.061500,0.101500,0.131000
30,Table_Cloth,1.286000e-01,0.187000,0.398000,0.023000
31,Tennis_Ball_Container,2.160000e-01,0.077000,0.218000,0.077000
32,Toilet_Brush,1.302000e-01,0.168000,0.403000,0.085000
33,White_Facecloth,3.240000e-02,0.170000,0.182000,0.039000
